09.06.2008;Michalik;1771914536488775;Hervis;817,32
11.11.2009;Mayer;6288081682946785;Fussl;558,88
02.10.2007;Mayer;6288081682946785;Bellaflora;273,71
11.09.2008;Kraus;7875259492246491;Fussl;469,51
25.01.2008;Mally;7341247641887864;Dm;995,34
11.03.2008;Kraus;7875259492246491;Fussl;848,05
06.07.2008;Niedermayr;9256328210666928;Fussl;526,28
06.12.2008;Mayer;6288081682946785;Baumax;81,11
12.08.2009;Pernsteiner;9096011694165260;Dm;988,54
06.05.2010;Schimbäck;4861749166865115;Thalia;381,01
16.01.2009;Maier;1429670339571291;Baumax;715,97
11.12.2007;Mayer;6288081682946785;Thalia;794,76
10.01.2010;Pernsteiner;9096011694165260;MediaMarkt;221,32
24.09.2008;Pöschko;0380279935255026;Baumax;487,97
02.03.2008;Niedermayr;9256328210666928;Eybl;735,40
19.09.2008;Pöschko;0380279935255026;Eybl;218,41
11.03.2010;Niedermayr;9256328210666928;Baumax;838,58
01.03.2008;Mayer;6288081682946785;Fussl;219,19
22.08.2008;Kulig;0896388906596503;Eybl;719,72
06.06.2008;Schimbäck;4861749166865115;Baumax;718,45
28.11.2009;Mally;7341247641887864;Bipa;476,81
03.08.2008;Pöschko;0380279935255026;Eybl;468,40
03.04.2008;Maier;1429670339571291;Fussl;764,50
30.12.2008;Maier;1429670339571291;Thalia;663,39
07.03.2008;Kraus;7875259492246491;Baumax;222,52
19.09.2008;Schimbäck;4861749166865115;Dm;693,04
27.10.2009;Schimbäck;4861749166865115;Adeg;928,70
27.07.2008;Kulig;0896388906596503;Baumax;93,98
04.10.2008;Kulig;0896388906596503;MediaMarkt;953,04
28.07.2008;Niedermayr;9256328210666928;Bellaflora;569,86
31.05.2010;Kraus;7875259492246491;Eybl;360,94
28.08.2009;Schimbäck;4861749166865115;Fussl;704,97
14.05.2009;Michalik;1771914536488775;Bellaflora;522,74
21.12.2008;Mayer;6288081682946785;Bellaflora;57,01
10.02.2008;Pernsteiner;9096011694165260;Baumax;613,16
30.04.2009;Niedermayr;9256328210666928;Baumax;933,39
28.09.2008;Michalik;1771914536488775;Dm;830,56
15.12.2009;Maier;1429670339571291;Dm;184,54
12.09.2007;Maier;1429670339571291;Adeg;568,69
14.02.2008;Michalik;1771914536488775;Dm;568,09
09.10.2007;Kulig;0896388906596503;Bipa;77,71
14.03.2008;Michalik;1771914536488775;Bipa;642,52
02.08.2008;Kraus;7875259492246491;Thalia;994,54
25.02.2009;Kraus;7875259492246491;Bellaflora;483,07
18.10.2009;Mayer;6288081682946785;MediaMarkt;150,84
17.05.2010;Maier;1429670339571291;Eybl;388,84
05.12.2007;Schimbäck;4861749166865115;Bipa;29,58
